# This data can be accessed openly but users of the data are requested to acknowledge the Canadian Space Agency and the CANOPUS team in their publications.
# The following CANOPUS reference paper should also be cited: 
# Rostoker G. et al. (1993) CANOPUS - a ground-based instrument array for remote sensing the high latitude ionosphere during the ISTP/GGS program
# Site Lat Long yyyymmdd CoordSys Units no of records
 RANK 62.824 267.890 19860118 GEODETIC nT 15104
 
# Date(dd/mm/yyyy),time(hh:mi:ss),X,Y,Z,F=. if the data is valid anything else the data is suspect.
1986/01/18,03:01:26,-820.900,0.000,-1.700,.
1986/01/18,03:01:31,-136.900,0.000,-1.200,.
1986/01/18,03:01:36,820.400,-0.100,-0.100,.
1986/01/18,03:01:41,1093.700,-0.100,0.500,.
1986/01/18,03:01:46,410.400,-0.100,0.000,.
1986/01/18,03:01:51,-547.600,-0.100,-1.100,.
1986/01/18,03:01:56,-820.900,0.000,-1.700,.
1986/01/18,03:02:01,-136.900,0.000,-1.200,.
1986/01/18,03:02:06,820.400,-0.100,-0.100,.
1986/01/18,03:02:11,1093.700,-0.100,0.500,.
1986/01/18,03:02:16,410.400,-0.100,0.000,.
1986/01/18,03:02:21,-547.600,-0.100,-1.100,.
1986/01/18,03:02:26,-820.900,0.000,-1.700,.
1986/01/18,03:02:31,-136.900,0.000,-1.200,.
1986/01/18,03:02:36,820.400,-0.100,-0.100,.
1986/01/18,03:02:41,1093.700,-0.100,0.500,.
1986/01/18,03:02:46,410.400,-0.100,0.000,.
1986/01/18,03:02:51,-547.600,-0.100,-1.100,.
1986/01/18,03:02:56,-820.900,0.000,-1.700,.
1986/01/18,03:03:01,-136.900,0.000,-1.200,.
1986/01/18,03:03:06,820.400,-0.100,-0.100,.
1986/01/18,03:03:11,1093.700,-0.100,0.500,.
1986/01/18,03:03:16,410.400,-0.100,0.000,.
1986/01/18,03:03:21,-547.600,-0.100,-1.100,.
1986/01/18,03:03:26,-820.900,0.000,-1.700,.
1986/01/18,03:03:31,-136.900,0.000,-1.200,.
1986/01/18,03:03:36,820.400,-0.100,-0.100,.
1986/01/18,03:03:41,1093.700,-0.100,0.500,.
1986/01/18,03:03:46,410.400,-0.100,0.000,.
1986/01/18,03:03:51,-547.600,-0.100,-1.100,.
1986/01/18,03:03:56,-820.900,0.000,-1.700,.
1986/01/18,03:04:01,-136.900,0.000,-1.200,.
